"YEAR";"P";"D";"E";"R";"RLONG";"CPI";"Rold"
1871;4,44;0,26;0,4;5,58785157008731;5,32;12,464061;6,35
1872;4,86;0,3;0,43;6,85051521890581;5,36;12,654392;7,81
1873;5,11;0,33;0,46;7,31752780134553;5,58;12,939807;8,35
1874;4,66;0,33;0,46;6,02891900905815;5,47;12,368896;6,86
1875;4,54;0,3;0,36;4,38572658936284;5,07;11,512651;4,96
1876;4,46;0,3;0,28;4,70571669214561;4,59;10,846575;5,33
1877;3,55;0,19;0,3;4,44626525745688;4,45;10,94174;5,03
1878;3,25;0,18;0,31;4,3338363024251;4,34;9,2290893;4,9
1879;3,58;0,2;0,38;3,77169152726617;4,22;8,2776793;4,25
1880;5,11;0,26;0,49;4,50680392555092;4,02;9,9903306;5,1
1881;6,19;0,32;0,44;4,23870410970589;3,7;9,4194198;4,79
1882;5,92;0,32;0,43;4,64517802405157;3,62;10,18058;5,26
1883;5,81;0,33;0,4;4,72301345445819;3,63;9,9903306;5,35
1884;5,18;0,31;0,31;4,98246488914693;3,62;9,2290893;5,65
1885;4,24;0,24;0,27;3,7457463837973;3,52;8,2776793;4,22
1886;5,2;0,22;0,33;3,78033990842246;3,37;7,9922321;4,26
1887;5,58;0,25;0,36;5,38029042233632;3,52;7,9922321;6,11
1888;5,31;0,23;0,26;4,43761687630059;3,67;8,3728446;5,02
1889;5,24;0,22;0,3;4,14357191698669;3,45;7,9922321;4,68
1890;5,38;0,22;0,29;4,77490374139594;3,42;7,6116519;5,41
1891;4,84;0,22;0,34;5,25921308614824;3,62;7,801942;5,97
1892;5,51;0,24;0,37;3,49494333026486;3,6;7,3262127;3,93
1893;5,61;0,25;0,26;7,46455028100248;3,75;7,8970911;8,52
1894;4,32;0,21;0,16;2,9673920797311;3,7;6,8504835;3,32
1895;4,25;0,19;0,25;2,7684793131364;3,46;6,5650524;3,09
1896;4,27;0,18;0,21;5,07759708186613;3,6;6,6601934;5,76
1897;4,22;0,18;0,31;3,07117265360659;3,4;6,4699033;3,44
1898;4,88;0,2;0,35;3,1663048463258;3,35;6,6601934;3,55
1899;6,08;0,21;0,48;3,00198560435626;3,1;6,7553425;3,36
1900;6,1;0,3;0,48;4,10897839236153;3,15;7,8970911;4,64
1901;7,07;0,32;0,5;3,81493343304763;3,1;7,7067929;4,3
